Date, Close/Last, Volume, Open, High, Low
08/03/2020, 11254.1, N/A, 11132.5, 11407.8, 11222.2
08/02/2020, 11157.1, N/A, 11968.2, 11202.7, 10981.6
08/01/2020, 11941.5, N/A, 11360.7, 11943.4, 11754.8
07/31/2020, 11387.8, N/A, 10972.3, 11394.3, 11226.1
07/30/2020, 10980.8, N/A, 10987.6, 11124.4, 10964.6
07/29/2020, 10999, N/A, 10970.9, 11114.4, 10959.9
07/28/2020, 10956.7, N/A, 10964.8, 10989.8, 10771.8
07/27/2020, 10935.6, N/A, 10196, 11229.1, 10854.2
07/26/2020, 10192, N/A, 9666.2, 10211.2, 9894.6
07/25/2020, 9666.3, N/A, 9582.9, 9690.7, 9645.9
07/24/2020, 9589, N/A, 9559.9, 9612.7, 9536.2
07/23/2020, 9560, N/A, 9489.5, 9599.8, 9545
07/22/2020, 9488.8, N/A, 9360.7, 9522.9, 9470.7
07/21/2020, 9361.9, N/A, 9179.7, 9389, 9353.7
07/20/2020, 9178.4, N/A, 9190.7, 9194.6, 9155.1
07/19/2020, 9188.5, N/A, 9156.1, 9218.4, 9177
07/18/2020, 9157, N/A, 9138.1, 9179.7, 9144.6
07/17/2020, 9139.4, N/A, 9119.5, 9167, 9128.1
07/16/2020, 9110.1, N/A, 9202.3, 9141.4, 9107.6
07/15/2020, 9200.1, N/A, 9234.7, 9224.2, 9183
07/14/2020, 9242.1, N/A, 9219.9, 9270.2, 9240.2
07/13/2020, 9224.1, N/A, 9272.7, 9245.6, 9219
07/12/2020, 9274.2, N/A, 9271.1, 9319.9, 9270.1
07/11/2020, 9276.5, N/A, 9268, 9286, 9232
07/10/2020, 9263.8, N/A, 9224.9, 9295.5, 9261.6
07/09/2020, 9215.5, N/A, 9385.3, 9239.6, 9206.5
07/08/2020, 9382.5, N/A, 9309.3, 9434.5, 9361.3
07/07/2020, 9300.5, N/A, 9293, 9319.9, 9233.1
07/06/2020, 9299.5, N/A, 9090.1, 9371.2, 9266.3
07/05/2020, 9088.7, N/A, 9133.8, 9114.1, 9063.2
07/04/2020, 9134.9, N/A, 9084.2, 9149.6, 9114
07/03/2020, 9086.1, N/A, 9097.4, 9100, 9053
07/02/2020, 9202, N/A, 9150.6, 9259.7, 9179.5
07/01/2020, 9233.4, N/A, 9134.9, 9259.7, 9225.2
06/30/2020, 9124.2, N/A, 9166.4, 9148, 9101.1
06/29/2020, 9171.7, N/A, 9101.3, 9199.8, 9158.7
06/28/2020, 9104.5, N/A, 8971, 9148.6, 9097.1
06/27/2020, 8970.6, N/A, 9161.7, 9008.2, 8950.2
06/26/2020, 9163.1, N/A, 9245.1, 9179.8, 9113.9
06/25/2020, 9249.4, N/A, 9098.7, 9296.5, 9194.3
06/24/2020, 9074.7, N/A, 9649.9, 9306, 9022.6
06/23/2020, 9645.9, N/A, 9655.5, 9663.7, 9614.8
06/22/2020, 9651.7, N/A, 9383.5, 9715.6, 9609.3
06/21/2020, 9378.5, N/A, 9371.1, 9395.2, 9285.8
06/20/2020, 9362, N/A, 9332, 9397.7, 9349.1
06/19/2020, 9331.8, N/A, 9280.8, 9350.1, 9294.2
06/18/2020, 9267.9, N/A, 9428.9, 9390.3, 9249.6
06/17/2020, 9436.3, N/A, 9461.9, 9468.8, 9403.4
06/16/2020, 9461.8, N/A, 9558, 9532.3, 9423.8
06/15/2020, 9549.2, N/A, 9166.7, 9570.7, 9379.3
06/14/2020, 9438.5, N/A, 9419.3, 9474.7, 9387.5
06/13/2020, 9431.5, N/A, 9411.4, 9474.7, 9428.7
06/12/2020, 9421.4, N/A, 9365.1, 9475.8, 9415.5
06/11/2020, 9381.5, N/A, 9887.3, 9391.3, 9249.4
06/10/2020, 9878.7, N/A, 9753.7, 9945.2, 9871
06/09/2020, 9754.2, N/A, 9679.4, 9805.8, 9745
06/08/2020, 9682.9, N/A, 9724.4, 9857.2, 9616.6
06/07/2020, 9718.6, N/A, 9689, 9770.5, 9708.5
06/06/2020, 9697.6, N/A, 9631.3, 9701.9, 9637.3
06/05/2020, 9616.2, N/A, 9794.5, 9629.3, 9549.5
06/04/2020, 9555, N/A, 9527.4, 9686.1, 9537.6
06/03/2020, 9681.7, N/A, 9494.1, 9686.1, 9617.6
06/02/2020, 9496, N/A, 10093.9, 9538.1, 9483.4
06/01/2020, 10080.8, N/A, 9552.8, 10207.3, 10050.4
05/31/2020, 9554.4, N/A, 9533.1, 9695.6, 9529.8
05/30/2020, 9587.2, N/A, 9394.5, 9695.6, 9567.5
05/29/2020, 9380.9, N/A, 9519.9, 9428.5, 9352.7
05/28/2020, 9525.3, N/A, 9173.1, 9596.5, 9468.1
05/27/2020, 9170.4, N/A, 8831.8, 9268.8, 9168.8
05/26/2020, 8850.5, N/A, 8901.8, 8891, 8818.6
05/25/2020, 8918.6, N/A, 8786.4, 8922.9, 8836.6
05/24/2020, 8773.7, N/A, 9195.4, 8817.9, 8666.1
05/23/2020, 9201, N/A, 9284.2, 9229.5, 9129.7
05/22/2020, 9275.5, N/A, 8995.1, 9303.2, 9169.7
05/21/2020, 8998.3, N/A, 9479.3, 9129.2, 8983.7
05/20/2020, 9477.8, N/A, 9721.8, 9567.1, 9463.1
05/19/2020, 9722.1, N/A, 9537.9, 9788.8, 9708.4
05/18/2020, 9524.6, N/A, 9856.6, 9737.8, 9524.6
05/17/2020, 9856.5, N/A, 9543.2, 9930.2, 9678.9
05/16/2020, 9559.1, N/A, 9411.1, 9570.4, 9327.8
05/15/2020, 9419.9, N/A, 9483.6, 9451.9, 9233
05/14/2020, 9497.4, N/A, 9338.5, 9819.6, 9319.3
05/13/2020, 9329.9, N/A, 8908.7, 9364.5, 9265.8
05/12/2020, 8913.3, N/A, 8717, 8964.7, 8799.1
05/11/2020, 8727.8, N/A, 8697.6, 8729.7, 8542.8
05/10/2020, 8659.3, N/A, 9753, 9569.4, 8259.3
05/09/2020, 8635.1, N/A, 9868.2, 9569.4, 8259.3
05/08/2020, 9873.7, N/A, 9914.8, 9910.5, 9747.2
05/07/2020, 9925.1, N/A, 9271.8, 10018.2, 9845.8
05/06/2020, 9263.6, N/A, 8962.9, 9338.2, 9064.8
05/05/2020, 8995.9, N/A, 8855.8, 9038.2, 8923.6
05/04/2020, 8870.5, N/A, 8728.4, 8920.7, 8831.4
05/03/2020, 8747.9, N/A, 9131.1, 8926.2, 8665.7
05/02/2020, 9137.7, N/A, 8840.9, 9169.9, 8935
05/01/2020, 8845.2, N/A, 8672.4, 8858.9, 8775.4
04/30/2020, 8673.9, N/A, 9279.1, 8758.1, 8621
04/29/2020, 9185.7, N/A, 7809.1, 9187.7, 8717.3
04/28/2020, 7801, N/A, 7708.9, 7822.6, 7729.7
04/27/2020, 7706.2, N/A, 7725.3, 7770.1, 7674
04/26/2020, 7723.7, N/A, 7569.6, 7768.4, 7676.1
04/25/2020, 7569.2, N/A, 7512.2, 7586.4, 7527
04/24/2020, 7510.2, N/A, 7520.8, 7516.9, 7451
04/23/2020, 7520.8, N/A, 7113.7, 7541.5, 7474.3
04/22/2020, 7129.2, N/A, 6856.8, 7169.6, 7092.2
04/21/2020, 6852, N/A, 6858.2, 6879.7, 6821.8
04/20/2020, 6854.9, N/A, 7162.5, 6907.7, 6818.9
