Date, Close/Last, Volume, Open, High, Low
08/06/2020, 288.4, 43908, 290.1, 290.8, 287.7
08/05/2020, 290.2, 34629, 291.2, 293, 289.8
08/04/2020, 291.4, 54636, 294.7, 295.1, 289.4
08/03/2020, 295.7, 34669, 295.7, 298, 294.4
07/31/2020, 297.3, 41491, 298, 300.6, 296.9
07/30/2020, 298, 40413, 295.5, 299.1, 293.9
07/29/2020, 295.8, 31641, 297.5, 298.2, 295
07/28/2020, 297.5, 37891, 301.2, 301.3, 296.4
07/27/2020, 301.5, 45248, 298.2, 303.5, 297
07/24/2020, 298.6, 39992, 298.3, 300.4, 296.8
07/23/2020, 297.9, 34552, 294.5, 298.6, 294.3
07/22/2020, 294.2, 29990, 293.3, 295.3, 293
07/21/2020, 293.3, 35722, 296.6, 296.6, 292.3
07/20/2020, 296.9, 33862, 293.8, 297.2, 292.2
07/17/2020, 294.1, 27194, 294.8, 295.5, 293.1
07/16/2020, 294.8, 33828, 293.2, 296.1, 293
07/15/2020, 293.4, 34868, 293, 294.4, 290.7
07/14/2020, 292.3, 40458, 291.7, 294.6, 291.4
07/13/2020, 291.7, 57099, 297.3, 299, 291.1
07/10/2020, 300.1, 39723, 306, 306.7, 299.5
07/09/2020, 305.4, 35898, 302, 307.1, 301.6
07/08/2020, 301.8, 32310, 303.1, 304.6, 300.6
07/07/2020, 303.1, 39839, 307, 307.7, 302.6
